Experiment,,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block,Confidence,RT_Confidence
1,38,3,1,38,120,html-slider-response,120,511298,2263,65,0.7,question_agency,question_agency_line,-5,5,6,7,6,-0.513229329,-0.092873983,3,,
1,35,3,1,35,139,html-slider-response,139,588470,3316,59,0.7,question_agency,question_agency_line,-11,5,5,4,3,0.420298854,0.486130581,4,,
1,36,3,1,36,182,html-slider-response,182,771349,3646,23,0.7,question_agency,question_agency_line,-47,5,6,4,3,-0.180182631,-0.00830251,5,,
1,41,3,1,41,31,html-slider-response,31,162784,2898,58,0.8,question_agency,question_agency_line,-22,7,7,6,4,0.342176439,-0.169861519,1,,
1,44,3,1,44,56,html-slider-response,56,262876,2555,77,0.8,question_agency,question_agency_line,-3,8,5,6,6,0.066264453,0.483860383,2,,
1,40,3,1,40,108,html-slider-response,108,463599,2988,47,0.8,question_agency,question_agency_line,-33,10,10,7,11,-0.080851224,0.293558052,3,,
1,42,3,1,42,154,html-slider-response,154,651749,4245,31,0.8,question_agency,question_agency_line,-49,6,7,2,9,0.046726486,-0.431288938,4,,
1,43,3,1,43,161,html-slider-response,161,678757,4005,82,0.8,question_agency,question_agency_line,2,8,6,2,9,-0.691460549,0.353858149,5,,
1,46,3,1,46,28,html-slider-response,28,150875,3159,77,0.9,question_agency,question_agency_line,-13,6,7,7,8,0.005414847,0.474179659,1,,
1,48,3,1,48,68,html-slider-response,68,309163,2716,53,0.9,question_agency,question_agency_line,-37,7,7,9,6,0.224200446,0.307754766,2,,
1,49,3,1,49,96,html-slider-response,96,416141,4022,59,0.9,question_agency,question_agency_line,-31,5,9,5,7,-0.411102784,-0.047608203,3,,
1,45,3,1,45,124,html-slider-response,124,524488,2344,69,0.9,question_agency,question_agency_line,-21,6,5,3,4,-0.435838355,0.557893987,4,,
1,47,3,1,47,176,html-slider-response,176,745926,4988,86,0.9,question_agency,question_agency_line,-4,5,6,2,3,0.321231179,0.020540809,5,,
1,50,3,1,50,37,html-slider-response,37,186886,2816,100,1,question_agency,question_agency_line,0,7,5,4,4,0.048214757,0.334961085,1,,
1,53,3,1,53,62,html-slider-response,62,286035,2724,100,1,question_agency,question_agency_line,0,7,9,5,13,-0.072419699,-0.063097124,2,,
1,52,3,1,52,102,html-slider-response,102,439794,3369,100,1,question_agency,question_agency_line,0,9,5,8,7,-0.151491762,-0.789073332,3,,
1,51,3,1,51,136,html-slider-response,136,576144,4321,100,1,question_agency,question_agency_line,0,9,5,1,4,0.349896773,0.446278736,4,,
1,54,3,1,54,188,html-slider-response,188,798737,5679,100,1,question_agency,question_agency_line,0,4,5,4,3,0.122298205,-0.273638396,5,,
1,1,4,1,1,28,html-slider-response,28,185371,5163,8,0,question_agency,question_agency_line,8,8,8,23,40,-0.168948743,-0.094263751,1,,
1,0,4,1,0,77,html-slider-response,77,399985,4272,5,0,question_agency,question_agency_line,5,8,8,40,10,-0.044182517,0.004720789,2,,
1,4,4,1,4,99,html-slider-response,99,484527,2457,0,0,question_agency,question_agency_line,0,7,8,10,28,0.361632523,-0.090670293,3,,
1,3,4,1,3,139,html-slider-response,139,635846,2024,0,0,question_agency,question_agency_line,0,9,7,26,12,0.001955267,0.114976141,4,,
1,2,4,1,2,182,html-slider-response,182,797290,2114,0,0,question_agency,question_agency_line,0,9,6,28,22,-0.177482396,-0.231355274,5,,
1,9,4,1,9,52,html-slider-response,52,296844,4519,8,0.1,question_agency,question_agency_line,-2,7,5,64,0,0.177859203,0,1,,
1,5,4,1,5,65,html-slider-response,65,349472,3938,0,0.1,question_agency,question_agency_line,-10,8,7,18,44,-0.092893485,-0.172294942,2,,
1,6,4,1,6,90,html-slider-response,90,450885,3131,0,0.1,question_agency,question_agency_line,-10,8,9,14,40,0.046027264,0.164543568,3,,
