,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
14,2,1,14,68,html-slider-response,68,546516,7772.0,4.0,0.2,question_agency,question_agency_line_inverted,-16.0,7.0,8.0,4.0,19.0,-0.16032085056026157,0.13620878674425493,2
10,2,1,10,117,html-slider-response,117,909497,6731.0,4.0,0.2,question_agency,question_agency_line_inverted,-16.0,10.0,10.0,0.0,8.0,0.0,0.022852849618681653,3
11,2,1,11,124,html-slider-response,124,1006895,3501.0,0.0,0.2,question_agency,question_agency_line_inverted,-20.0,5.0,6.0,4.0,1.0,0.048422321799273846,-0.23820164931226898,4
12,2,1,12,176,html-slider-response,176,1608196,178116.0,18.0,0.2,question_agency,question_agency_line_inverted,-2.0,8.0,7.0,8.0,2.0,0.2743435713243886,-0.03442157242947513,5
18,2,1,18,34,html-slider-response,34,188857,8003.0,31.0,0.3,question_agency,question_agency_line_inverted,1.0,7.0,8.0,14.0,4.0,0.4816970654554775,0.34091589427471297,1
19,2,1,19,65,html-slider-response,65,529736,4789.0,12.0,0.3,question_agency,question_agency_line_inverted,-18.0,7.0,6.0,10.0,2.0,0.2940616608599537,-0.08243497857088221,2
15,2,1,15,114,html-slider-response,114,893751,3736.0,5.0,0.3,question_agency,question_agency_line_inverted,-25.0,7.0,7.0,10.0,10.0,-0.47288713648125513,-0.17279270232162758,3
16,2,1,16,154,html-slider-response,154,1153533,4445.0,67.0,0.3,question_agency,question_agency_line_inverted,37.0,5.0,9.0,9.0,4.0,-0.5453084969718985,0.18139941024662348,4
17,2,1,17,182,html-slider-response,182,1690640,9796.0,8.0,0.3,question_agency,question_agency_line_inverted,-22.0,6.0,6.0,5.0,15.0,0.3339858563870184,0.042357288803964825,5
23,2,1,23,28,html-slider-response,28,157938,6064.0,14.0,0.4,question_agency,question_agency_line_inverted,-26.0,6.0,5.0,10.0,11.0,0.4213184015101293,0.025583779366491668,1
20,2,1,20,59,html-slider-response,59,501655,3646.0,3.0,0.4,question_agency,question_agency_line_inverted,-37.0,7.0,8.0,10.0,5.0,0.07864456052371757,0.08951441668980015,2
24,2,1,24,96,html-slider-response,96,814285,4892.0,82.0,0.4,question_agency,question_agency_line_inverted,42.0,6.0,9.0,15.0,1.0,-0.16392415084132442,0.10982963498916644,3
22,2,1,22,127,html-slider-response,127,1021531,5621.0,11.0,0.4,question_agency,question_agency_line_inverted,-29.0,6.0,6.0,7.0,6.0,0.12157741298134624,0.21787454864072656,4
21,2,1,21,167,html-slider-response,167,1305202,4384.0,87.0,0.4,question_agency,question_agency_line_inverted,47.0,7.0,6.0,12.0,4.0,0.3355501020403937,0.3452744897635186,5
29,2,1,29,49,html-slider-response,49,255307,3520.0,28.0,0.5,question_agency,question_agency_line_inverted,-22.0,4.0,8.0,22.0,22.0,-0.25838864418135377,0.0951787822237619,1
28,2,1,28,86,html-slider-response,86,685149,3994.0,54.0,0.5,question_agency,question_agency_line_inverted,4.0,8.0,7.0,10.0,1.0,0.2856639023366554,-0.11063567748138668,2
26,2,1,26,105,html-slider-response,105,852063,4260.0,95.0,0.5,question_agency,question_agency_line_inverted,45.0,7.0,6.0,7.0,4.0,0.3480337915898373,0.26651297296618065,3
25,2,1,25,130,html-slider-response,130,1038642,8098.0,14.0,0.5,question_agency,question_agency_line_inverted,-36.0,5.0,8.0,9.0,2.0,-0.16854290730686883,-0.1787918446710403,4
27,2,1,27,188,html-slider-response,188,1758395,3391.0,14.0,0.5,question_agency,question_agency_line_inverted,-36.0,5.0,7.0,12.0,2.0,-0.5234795833263667,0.4337087446861601,5
